province,year,base_year,delta_CO2,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio,delta_P,delta_A,delta_B,delta_C
Hainan,1998,1997,2.3789999999999996,0.0,0.0,0.0,0.0945459818517134,0.389892297471547,12.463561289505995,-10.568999568829256
Hainan,1999,1998,-1.6929999999999996,1.7763568394002505e-15,1.0492361721206443e-15,1.0492361721206443e-15,0.08850952805406125,0.44061946637129923,-11.349858433694758,9.127729439269396
Hainan,2000,1999,0.47800000000000065,-1.5543122344752192e-15,3.2516992353038015e-15,3.2516992353038015e-15,0.2309762591909644,0.42560512294233854,-0.16155571735393492,-0.017025664779365818
Hainan,2001,2000,0.4249999999999998,-7.771561172376096e-16,1.828602628794376e-15,1.828602628794376e-15,0.06936883881378146,0.47402021701561264,-0.15098296321485263,0.032593907385459066
Hainan,2002,2001,2.658999999999999,8.881784197001252e-16,3.340272356901563e-16,3.340272356901563e-16,0.08345566475695466,0.8652398712259641,1.4310964827165644,0.27920798130051505
Hainan,2003,2002,2.4480000000000004,-4.884981308350689e-15,1.9954989004700522e-15,1.9954989004700522e-15,0.11094372491429125,1.1225684066749138,1.842989712940824,-0.6285018445300237
Hainan,2004,2003,-0.9939999999999998,8.881784197001252e-16,8.935396576460014e-16,8.935396576460014e-16,0.1043450675753663,1.6187030534668407,1.0072638849011586,-3.724312005943366
Hainan,2005,2004,5.315999999999999,5.329070518200751e-15,1.0024587129798256e-15,1.0024587129798256e-15,0.1718475178305702,1.4817821898840635,-5.5967860884100205,9.25915638069538
Hainan,2006,2005,2.5310000000000024,-4.884981308350689e-15,1.930059782042941e-15,1.930059782042941e-15,0.17503195674679464,2.5832436831107617,0.2726316286099099,-0.4999072684674592
Hainan,2007,2006,1.9609999999999985,-4.884981308350689e-15,2.4910664499493586e-15,2.4910664499493586e-15,0.21911640216820405,3.5162370806066665,-1.2565724282334803,-0.5177810545413871
