level,scenario,province,province_id,year,energy_pred,co2_pred
province,baseline,Yunnan,28,2034,17836.584179136444,25020.437788865365
province,baseline,Yunnan,28,2035,18107.022963307027,24703.58332783164
province,baseline,Zhejiang,29,2024,24763.249776361114,24020.51585369207
province,baseline,Zhejiang,29,2025,25707.642252270733,24763.570361035774
province,baseline,Zhejiang,29,2026,26691.741871823822,25558.853738405687
province,baseline,Zhejiang,29,2027,27716.94413488264,26382.002016794453
province,baseline,Zhejiang,29,2028,28638.81954080115,27095.662725971873
province,baseline,Zhejiang,29,2029,29430.943314274136,26737.323475219964
province,baseline,Zhejiang,29,2030,30241.615743482256,26335.505995195705
province,baseline,Zhejiang,29,2031,30426.50323247128,25326.61373919522
province,baseline,Zhejiang,29,2032,30709.29431123165,24381.23287900885
province,baseline,Zhejiang,29,2033,31064.134347433213,23468.53740714407
province,baseline,Zhejiang,29,2034,31472.01492190164,22566.586744001674
province,baseline,Zhejiang,29,2035,31919.07835759687,22522.04183190886
province,extensive,Anhui,0,2024,18313.545914929608,26787.99361407463
province,extensive,Anhui,0,2025,18825.15832856392,27536.350602556286
province,extensive,Anhui,0,2026,19439.45533175215,28434.908657615208
province,extensive,Anhui,0,2027,20134.882705424756,29452.139516757983
province,extensive,Anhui,0,2028,20897.650371461295,30567.87185290551
province,extensive,Anhui,0,2029,21724.198501233088,31776.898555047435
province,extensive,Anhui,0,2030,22607.64927092408,33069.15914110569
province,extensive,Anhui,0,2031,23503.99257087631,34380.27817325142
province,extensive,Anhui,0,2032,24419.970603331734,35720.11775418398
province,extensive,Anhui,0,2033,25360.12332430729,37095.318668454594
province,extensive,Anhui,0,2034,26327.911228852743,38510.9427276712
province,extensive,Anhui,0,2035,27333.13651462028,39981.32801847907
